School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
NASHOBA BROOKS SCHOOL,42.477879,-71.379878,Private,CONCORD,Middlesex, , , , , , , 
THOREAU SCHOOL,42.4536762,-71.4015102,Public,CONCORD,Middlesex,86%,93%,85%,92%,80%,76%,0%
WILLARD ELEMENTARY,42.4294199,-71.3820663,Public,CONCORD,Middlesex,100%,100%,100%,100%,100%,98%,0%
CONWAY GRAMMAR SCHOOL,42.5093034,-72.6731014,Public,CONWAY,Franklin, , , , , , , 
WALDORF SCHOOL OF CAPE COD,41.623691,-70.440977,Private,COTUIT,Barnstable, , , , , , , 
BERKSHIRE TRAIL ELEMENTARY,42.4575863,-72.8889847,Public,CUMMINGTON,Hampshire, , , , , , , 
CRANEVILLE,42.4753813,-73.1777007,Public,DALTON,Berkshire,96%,98%,98%,96%,98%,96%,1.80%
ST AGNES ACADEMY,42.4736959,-73.1662138,Private,DALTON,Berkshire, , , , , , , 
CLARK CREATIVE LEARN,42.6052,-70.9379,Private,DANVERS,Essex, , , , , , , 
GREAT OAK,42.5698692,-70.9487626,Public,DANVERS,Essex,95%,95%,95%,97%,95%,93%,4.90%
HIGHLANDS,42.5648168,-70.9594957,Public,DANVERS,Essex,95%,92%,97%,97%,97%,90%,1.60%
IVAN G SMITH,42.5876299,-70.95392,Public,DANVERS,Essex,100%,100%,100%,100%,100%,100%,0%
RIVERSIDE ELEMENTARY,42.5750009,-70.932122,Public,DANVERS,Essex,98%,100%,100%,100%,100%,98%,0%
ST MARY OF THE ANNUNCIATION,42.5682551,-70.9482933,Private,DANVERS,Essex, , , , , , , 
WILLIS E THORPE,42.5725,-70.9205,Public,DANVERS,Essex,89%,77%,89%,89%,89%,90%,1.60%
CUSHMAN SCHOOL,41.5980959,-70.9414674,Public,DARTMOUTH,Bristol,93%,94%,93%,94%,93%,90%,7.00%
JAMES M QUINN SCHOOL,41.6274035,-70.9601549,Public,DARTMOUTH,Bristol,95%,96%,94%,92%,93%,92%,1.90%
DEDHAM COUNTRY DAY,42.2389,-71.1864,Private,DEDHAM,Norfolk, , , , , , , 
EARLY CHILDHOOD EDUCATION CTR,42.2436085,-71.1676536,Public,DEDHAM,Norfolk,97%,98%,99%,98%,99%,96%,1.50%
RASHI SCHOOL,42.2676056,-71.1971649,Private,DEDHAM,Norfolk,90%,100%,95%,98%,93%,88%,2.40%
BEMENT,42.5482791,-72.6037161,Private,DEERFIELD,Franklin, , , , , , , 
DIGHTON ELEMENTARY,41.835463,-71.121908,Public,DIGHTON,Bristol,93%,98%,95%,100%,95%,95%,0%
BRIDGE BOSTON CHARTER SCHOOL,42.2993486,-71.0836406,Public,DORCHESTER,Suffolk,69%,70%,75%,79%,75%,64%,1.30%
CODMAN ACADEMY CHARTER SCHOOL,42.289497,-71.0719905,Public,DORCHESTER,Suffolk,67%,78%,69%,91%,67%,62%,0%
COMPASS SCHOOL,42.3016305,-71.067605,Private,DORCHESTER,Suffolk,*,*,*,*,*,*,*
