School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
ST AGATHA ELEMENTARY,42.2495321,-71.0661653,Private,MILTON,Norfolk,100%,100%,97%,100%,100%,97%,0%
ST MARY OF THE HILLS,42.2617653,-71.0871674,Private,MILTON,Norfolk, , , , , , , 
THACHER MONTESSORI,42.2224944,-71.119199,Private,MILTON,Norfolk, , , , , , , 
TUCKER SCHOOL,42.2609321,-71.0944954,Public,MILTON,Norfolk,100%,97%,100%,100%,100%,97%,0%
QUARRY HILL SCHOOL,42.1042451,-72.3189519,Public,MONSON,Hampden,98%,98%,98%,97%,97%,97%,1.60%
JOHNSON SCHOOL,42.4239859,-70.9322708,Public,NAHANT,Essex, , , , , , , 
NANTUCKET ELEMENTARY,41.269266,-70.0983995,Public,NANTUCKET,Nantucket,94%,94%,95%,98%,95%,93%,2.40%
NANTUCKET LIGHTHOUSE SCHOOL,41.2628355,-70.0922414,Private,NANTUCKET,Nantucket, , , , , , , 
NANTUCKET NEW SCHOOL,41.265679,-70.061587,Private,NANTUCKET,Nantucket, , , , , , , 
BENNETT-HEMENWAY SCHOOL,42.3080717,-71.3585548,Public,NATICK,Middlesex,98%,99%,99%,99%,99%,98%,0.80%
BROWN SCHOOL,42.2913222,-71.3842785,Public,NATICK,Middlesex,98%,99%,99%,99%,99%,96%,0.90%
CROSSROADS SCHOOL FOR CHILDREN,42.2775281,-71.3468091,Private,NATICK,Middlesex, , , , , , , 
JOHNSON ELEMENTARY,42.2784744,-71.3507522,Public,NATICK,Middlesex,100%,100%,98%,100%,100%,98%,1.80%
LILJA ELEMENTARY,42.2952077,-71.3275721,Public,NATICK,Middlesex,99%,100%,100%,100%,100%,99%,0%
MEMORIAL ELEMENTARY,42.270691,-71.3233552,Public,NATICK,Middlesex,99%,99%,99%,98%,99%,97%,2.00%
RCS LEARNING CENTER,42.295398,-71.387814,Private,NATICK,Middlesex, , , , , , , 
RIVERBEND SCHOOL,42.2736647,-71.313528,Private,NATICK,Middlesex, , , , , , , 
TOBIN SCHOOL,42.2727796,-71.3458712,Private,NATICK,Middlesex, , , , , , , 
BROADMEADOW,42.2793326,-71.2085731,Public,NEEDHAM,Norfolk,100%,99%,100%,97%,100%,96%,0%
ELIOT ELEMENTARY,42.306122,-71.2400776,Public,NEEDHAM,Norfolk,100%,100%,100%,100%,100%,100%,0%
HILLSIDE ELEMENTARY,42.2953753,-71.2403332,Public,NEEDHAM,Norfolk,100%,100%,100%,100%,100%,100%,0%
NEWMAN SCHOOL,42.2816215,-71.2552005,Public,NEEDHAM,Norfolk,99%,99%,100%,99%,99%,99%,1.00%
ST JOSEPH SCHOOL,42.2826154,-71.2346974,Private,NEEDHAM,Norfolk,98%,100%,100%,100%,100%,98%,1.70%
WALKER HOME AND SCHOOL,42.2599747,-71.2692773,Private,NEEDHAM,Norfolk, , , , , , , 
WILLIAM MITCHELL SCHOOL,42.2889866,-71.2225549,Public,NEEDHAM,Norfolk,99%,99%,99%,99%,99%,99%,1.30%
ABRAHAM LINCOLN,41.6692704,-70.9319832,Public,NEW BEDFORD,Bristol,98%,100%,100%,100%,100%,98%,0%
ALFRED J GOMES,41.6259339,-70.922144,Public,NEW BEDFORD,Bristol,95%,100%,99%,99%,95%,92%,1.30%
ALL SAINTS CATHOLIC SCHOOL,41.683261,-70.931623,Private,NEW BEDFORD,Bristol, , , , , , , 
ALMA DEL MAR CHARTER SCHOOL,41.665394,-70.9243195,Public,NEW BEDFORD,Bristol,*,*,*,*,*,*,*
BETSY WINSLOW SCHOOL,41.6256597,-70.9447608,Public,NEW BEDFORD,Bristol,97%,99%,97%,99%,97%,96%,2.90%
CARLOS PACHECO ELEMENTARY,41.6362152,-70.934205,Public,NEW BEDFORD,Bristol,96%,96%,99%,100%,99%,94%,1.50%
CARNEY ACADEMY,41.6361104,-70.9327707,Public,NEW BEDFORD,Bristol,97%,98%,98%,98%,98%,97%,1.80%
CHARLES S ASHLEY,41.6762931,-70.9334576,Public,NEW BEDFORD,Bristol,100%,100%,100%,100%,100%,100%,0%
E G CAMPBELL PERFORMING ARTS MAGNET,41.6362152,-70.934205,Public,NEW BEDFORD,Bristol,100%,100%,100%,100%,100%,100%,0%
E R HATHAWAY SCHOOL,41.6331596,-70.9400385,Public,NEW BEDFORD,Bristol,98%,100%,100%,100%,99%,96%,1.00%
ELIZABETH C BROOKS,41.6431879,-70.9533825,Public,NEW BEDFORD,Bristol,97%,100%,97%,100%,97%,94%,5.90%
H A KEMPTON,41.6360651,-70.9434488,Public,NEW BEDFORD,Bristol, , , , , , , 
HAYDEN-MCFADDEN,41.6547721,-70.9318165,Public,NEW BEDFORD,Bristol,99%,99%,99%,100%,98%,95%,0%
HOLY FAMILY - HOLY NAME,41.6380934,-70.932658,Private,NEW BEDFORD,Bristol, , , , , , , 
JAMES B CONGDON,41.6220545,-70.9319552,Public,NEW BEDFORD,Bristol,89%,96%,99%,100%,99%,89%,1.40%
JIREH SWIFT,41.634758,-70.931619,Public,NEW BEDFORD,Bristol,98%,98%,100%,100%,100%,96%,0%
JOHN AVERY PARKER,41.6444312,-70.9320947,Public,NEW BEDFORD,Bristol,98%,100%,100%,100%,100%,98%,0%
JOHN B DEVALLES,41.6184376,-70.9283713,Public,NEW BEDFORD,Bristol,99%,100%,100%,100%,100%,99%,0%
KENNEDY DONOVAN CENTER SCHOOL,41.6299058,-70.9298296,Private,NEW BEDFORD,Bristol, , , , , , , 
NAZARENE CHRISTIAN ACADEMY,41.6503406,-70.9643982,Private,NEW BEDFORD,Bristol, , , , , , , 
PULASKI,41.7283758,-70.9448209,Public,NEW BEDFORD,Bristol,98%,98%,98%,98%,98%,97%,2.20%
RENAISSANCE COMMUNITY SCHOOL FOR THE ARTS,41.6362152,-70.934205,Public,NEW BEDFORD,Bristol,98%,100%,100%,100%,100%,98%,0%
ST JAMES-ST JOHN,41.6285077,-70.9301892,Private,NEW BEDFORD,Bristol, , , , , , , 
THOMAS R RODMAN SCHOOL,41.636328,-70.948643,Public,NEW BEDFORD,Bristol, , , , , , , 
WILLIAM H TAYLOR,41.609197,-70.911425,Public,NEW BEDFORD,Bristol,96%,98%,98%,98%,98%,96%,2.10%
NEW BRAINTREE GRADE SCHOOL,42.3173136,-72.1248003,Public,NEW BRAINTREE,Worcester,91%,94%,94%,97%,91%,91%,6.10%
SWIFT RIVER,42.5216619,-72.3571392,Public,NEW SALEM,Franklin, , , , , , , 
NEWBURY ELEMENTARY,42.7902951,-70.870683,Public,NEWBURY,Essex,77%,94%,87%,90%,77%,69%,1.90%
GEORGE W BROWN ELEMENTARY,42.8125913,-70.8772751,Public,NEWBURYPORT,Essex,98%,99%,98%,99%,98%,97%,1.50%
IMMACULATE CONCEPTION,42.808821,-70.874154,Private,NEWBURYPORT,Essex,90%,93%,93%,90%,93%,83%,6.70%
NEWBURYPORT MONTESSORI,42.8105051,-70.870885,Private,NEWBURYPORT,Essex, , , , , , , 
RIVER VALLEY CHARTER SCHOOL,42.807227,-70.8866218,Public,NEWBURYPORT,Essex,97%,97%,100%,94%,94%,91%,6.20%
JACKSON SCHOOL,42.3564251,-71.1947685,Private,NEWTON,Middlesex, , , , , , , 
LINCOLN-ELIOT,42.3597728,-71.1940677,Public,NEWTON,Middlesex,96%,96%,100%,98%,100%,93%,1.80%
NEWTON MONTESSORI SCHOOL,42.3290816,-71.1967216,Private,NEWTON,Middlesex,81%,88%,84%,91%,86%,74%,0%
UNDERWOOD,42.3551361,-71.1836631,Public,NEWTON,Middlesex,94%,98%,100%,100%,100%,94%,0%
WALNUT PARK MONTESSORI,42.3565433,-71.1941623,Private,NEWTON,Middlesex, , , , , , , 
BOWEN ELEMENTARY,42.3300503,-71.1948255,Public,NEWTON CENTRE,Middlesex,98%,100%,98%,100%,100%,95%,1.50%
JOHN WARD,42.3385211,-71.1803364,Public,NEWTON CENTRE,Middlesex,100%,100%,100%,100%,100%,100%,0%
MASON-RICE,42.3325734,-71.1996223,Public,NEWTON CENTRE,Middlesex,99%,100%,100%,99%,99%,98%,2.50%
MEMORIAL SPAULDING SCHOOL,42.3021316,-71.1777762,Public,NEWTON CENTRE,Middlesex,97%,97%,97%,100%,97%,96%,0%
SOLOMON SCHECHTER DAY SCHOOL,42.2919861,-71.1884624,Private,NEWTON CENTRE,Middlesex,100%,100%,98%,94%,98%,96%,4.20%
COUNTRYSIDE,42.3128402,-71.2024945,Public,NEWTON HIGHLANDS,Middlesex,90%,89%,93%,93%,93%,89%,6.90%
CABOT,42.347709,-71.202701,Public,NEWTONVILLE,Middlesex,100%,100%,100%,98%,100%,98%,0%
HORACE MANN,42.3546429,-71.2134924,Public,NEWTONVILLE,Middlesex,97%,97%,98%,98%,97%,97%,3.10%
H OLIVE DAY SCHOOL,42.1203238,-71.3347466,Public,NORFOLK,Norfolk,98%,99%,99%,99%,99%,99%,1.10%
BRAYTON ELEMENTARY,42.698346,-73.136872,Public,NORTH ADAMS,Berkshire,98%,98%,98%,100%,100%,98%,2.00%
GREYLOCK,42.6973054,-73.1559258,Public,NORTH ADAMS,Berkshire,97%,100%,100%,100%,100%,97%,0%
SULLIVAN SCHOOL,42.6945263,-73.0989921,Public,NORTH ADAMS,Berkshire,100%,100%,100%,100%,100%,100%,0%
ANNIE L SARGENT SCHOOL,42.6712314,-71.0972716,Public,NORTH ANDOVER,Essex,92%,96%,95%,98%,95%,88%,3.20%
ATKINSON SCHOOL,42.6897308,-71.1230929,Public,NORTH ANDOVER,Essex,99%,100%,100%,100%,99%,99%,0%
FRANKLIN SCHOOL,42.6766791,-71.1197052,Public,NORTH ANDOVER,Essex,97%,100%,99%,100%,99%,97%,2.60%
KINDER CARE #1485,42.6970324,-71.1193622,Private,NORTH ANDOVER,Essex, , , , , , , 
KITTREDGE SCHOOL,42.6921022,-71.1193625,Public,NORTH ANDOVER,Essex,*,*,*,*,*,*,*
ST MICHAEL ELEMENTARY,42.7004058,-71.1309699,Private,NORTH ANDOVER,Essex,62%,91%,71%,98%,67%,62%,0%
THOMSON SCHOOL,42.6965934,-71.135047,Public,NORTH ANDOVER,Essex,100%,100%,98%,98%,96%,89%,1.90%
ALLEN AVENUE SCHOOL,41.9453,-71.3522,Public,NORTH ATTLEBORO,Bristol, , , , , , , 
AMVET BLVD SCHOOL,41.9764595,-71.3427458,Public,NORTH ATTLEBORO,Bristol,98%,96%,96%,100%,100%,94%,2.10%
COMMUNITY SCHOOL,41.98054,-71.334753,Public,NORTH ATTLEBORO,Bristol,95%,95%,95%,95%,93%,69%,5.40%
FALLS ELEMENTARY SCHOOL,41.9722919,-71.3144812,Public,NORTH ATTLEBORO,Bristol, , , , , , , 
JOSEPH W MARTIN SCHOOL,41.9971037,-71.2958687,Public,NORTH ATTLEBORO,Bristol,100%,100%,100%,100%,100%,100%,0%
ROOSEVELT AVENUE SCHOOL,41.9453,-71.3522,Public,NORTH ATTLEBORO,Bristol,93%,98%,98%,98%,95%,82%,4.50%
ST MARY-SACRED HEART,41.9824799,-71.3352403,Private,NORTH ATTLEBORO,Bristol, , , , , , , 
NE PEDIATRIC SCHOOL,42.5932199,-71.2942948,Private,NORTH BILLERICA,Middlesex, , , , , , , 
NORTH BROOKFIELD ELEMENTARY,42.2784371,-72.0799618,Public,NORTH BROOKFIELD,Worcester,94%,92%,94%,97%,94%,94%,5.60%
CHARLES D HARRINGTON,42.6227874,-71.3792017,Public,NORTH CHELMSFORD,Middlesex,97%,100%,100%,100%,98%,95%,2.00%
KEYSTONE MONTESSORI SCHOOL,42.6373349,-71.378807,Private,NORTH CHELMSFORD,Middlesex, , , , , , , 
LIGHTHOUSE SCHOOL,42.644637,-71.38599,Private,NORTH CHELMSFORD,Middlesex, , , , , , , 
FRIENDS ACADEMY,41.6240468,-70.9822706,Private,NORTH DARTMOUTH,Bristol, , , , , , , 
GEORGE H POTTER ELEMENTARY,41.6455811,-71.0082905,Public,NORTH DARTMOUTH,Bristol,97%,99%,97%,100%,97%,97%,2.90%
KIDDIE KAMPUS,41.667489,-70.991104,Private,NORTH DARTMOUTH,Bristol, , , , , , , 
SCHWARTZ CENTER SCHOOL,41.640396,-70.9694555,Private,NORTH DARTMOUTH,Bristol, , , , , , , 
MOREAU HALL,42.061629,-71.086228,Public,NORTH EASTON,Bristol,100%,95%,99%,99%,99%,92%,1.30%
PARKVIEW,42.050903,-71.107817,Public,NORTH EASTON,Bristol,96%,97%,95%,100%,97%,93%,4.40%
NORTH FALMOUTH ELEMENTARY,41.6379261,-70.6224946,Public,NORTH FALMOUTH,Barnstable,95%,97%,100%,97%,100%,95%,2.60%
NORTH GRAFTON ELEMENTARY,42.2383509,-71.7026278,Public,NORTH GRAFTON,Worcester,93%,96%,90%,99%,89%,87%,0%
E ETHEL LITTLE SCHOOL,42.570409,-71.121038,Public,NORTH READING,Middlesex,100%,100%,100%,100%,100%,100%,0%
J TURNER HOOD SCHOOL,42.595385,-71.090061,Public,NORTH READING,Middlesex,95%,95%,95%,98%,94%,95%,1.60%
L D BATCHELDER,42.5988234,-71.1223505,Public,NORTH READING,Middlesex,100%,100%,100%,100%,100%,100%,0%
ST JEROME ELEMENTARY,42.2446304,-70.9418117,Private,NORTH WEYMOUTH,Norfolk, , , , , , , 
WESSAGUSSET ELEMENTARY,42.2466152,-70.9448956,Public,NORTH WEYMOUTH,Norfolk,100%,100%,100%,99%,100%,99%,1.40%
BRIDGE STREET SCHOOL,42.3235268,-72.6263282,Public,NORTHAMPTON,Hampshire,100%,94%,100%,94%,100%,90%,0%
CLARKE SCHOOL,42.3224027,-72.6397266,Private,NORTHAMPTON,Hampshire,*,*,*,*,*,*,*
CUTCHINS PROGRAM,42.3250896,-72.6412013,Private,NORTHAMPTON,Hampshire, , , , , , , 
JACKSON ST SCHOOL,42.3344767,-72.6448911,Public,NORTHAMPTON,Hampshire,96%,96%,100%,94%,100%,88%,2.00%
LANDER-GRINSPOON ACADEMY,42.3297539,-72.6419778,Private,NORTHAMPTON,Hampshire, , , , , , , 
MONTESSORI SCHOOL OF NORTHAMPTON,42.3325834,-72.6277189,Private,NORTHAMPTON,Hampshire, , , , , , , 
SMITH COLLEGE CAMPUS SCHOOL,42.3210965,-72.6356816,Private,NORTHAMPTON,Hampshire,97%,97%,92%,95%,92%,90%,5.10%
CORNERSTONE ACADEMY,42.3150063,-71.6594154,Private,NORTHBORO,Worcester, , , , , , , 
FANNIE PROCTOR,42.3025937,-71.6531233,Public,NORTHBORO,Worcester,100%,100%,95%,100%,95%,95%,4.80%
LINCOLN STREET,42.3163854,-71.658264,Public,NORTHBORO,Worcester,100%,100%,100%,100%,100%,97%,0%
MARGUERITE PEASLEE,42.3223446,-71.6281426,Public,NORTHBORO,Worcester,98%,94%,100%,98%,100%,92%,2.10%
MARION E ZEH SCHOOL,42.4072107,-71.3824374,Public,NORTHBORO,Worcester,98%,98%,98%,98%,98%,98%,2.50%
ST BERNADETTE SCHOOL,42.3268656,-71.6214415,Private,NORTHBORO,Worcester,100%,100%,100%,100%,100%,100%,0%
NORTHFIELD ELEMENTARY,42.6984932,-72.4548215,Public,NORTHFIELD,Franklin, , , , , , , 
JOSEPH C SOLMONESE,41.9667703,-71.1869963,Public,NORTON,Bristol,96%,97%,99%,99%,99%,96%,1.00%
L G NOURSE SCHOOL,41.9684333,-71.1667154,Public,NORTON,Bristol,100%,100%,100%,99%,99%,99%,1.40%
NEW TESTAMENT CHRISTIAN,41.9453204,-71.1737063,Private,NORTON,Bristol, , , , , , , 
GRACE FARRAR COLE,42.1672719,-70.8803038,Public,NORWELL,Plymouth,94%,94%,94%,95%,94%,92%,0%
SOUTH SHORE CHARTER SCHOOL,42.156762,-70.88182,Public,NORWELL,Plymouth,77%,88%,77%,100%,77%,67%,2.30%
WILLIAM G VINAL,42.1762919,-70.796179,Public,NORWELL,Plymouth,96%,99%,93%,100%,95%,95%,1.30%
GEORGE F WILLETT ELEMENTARY,42.1943909,-71.1989695,Public,NORWOOD,Norfolk,98%,98%,99%,99%,99%,98%,1.50%
KEHILLAH SCHECHTER ACADEMY,42.1661929,-71.2025861,Private,NORWOOD,Norfolk,*,*,*,*,*,*,*
ST CATHERINE OF SIENA SCHOOL,42.1959672,-71.2013124,Private,NORWOOD,Norfolk,72%,78%,88%,100%,94%,72%,0%
OAK BLUFFS ELEMENTARY,41.446414,-70.568836,Public,OAK BLUFFS,Dukes,87%,87%,87%,87%,85%,83%,10.60%
FISHER HILL,42.5972369,-72.3110756,Public,ORANGE,Franklin,97%,97%,96%,100%,95%,96%,1.30%
ORLEANS ELEMENTARY,41.781574,-69.993431,Public,ORLEANS,Barnstable,*,*,*,*,*,*,*
CAPE COD ACADEMY,41.6423803,-70.3882328,Private,OSTERVILLE,Barnstable, , , , , , , 
FARMINGTON RIVER ELEMENTARY,42.1930224,-73.0919689,Public,OTIS,Berkshire, , , , , , , 
ALFRED M CHAFFEE ELEMENTARY,42.1167606,-71.8647577,Public,OXFORD,Worcester,99%,100%,99%,99%,99%,99%,0%
OLD MILL POND SCHOOL,42.1855118,-72.3419463,Public,PALMER,Hampden,93%,98%,99%,99%,99%,93%,1.00%
PAXTON CENTER,42.3100435,-71.9296655,Public,PAXTON,Worcester,100%,100%,100%,98%,100%,98%,0%
CATHOLIC CHARITIES NORTH,42.5222984,-70.9917312,Private,PEABODY,Essex, , , , , , , 
CENTER SCHOOL,42.5296023,-70.9442331,Public,PEABODY,Essex,95%,100%,100%,97%,100%,97%,3.10%
COVENANT CHRISTIAN ACADEMY,42.5433388,-71.0020322,Private,PEABODY,Essex, , , , , , , 
JOHN E BURKE ELEMENTARY,42.5621136,-71.0239939,Public,PEABODY,Essex,98%,98%,98%,100%,100%,98%,0%
JOHN E MCCARTHY SCHOOL,42.5392,-71.0017,Public,PEABODY,Essex,100%,100%,100%,100%,100%,100%,0%
NORTH SHORE ACADEMY LOWER SCHOOL,42.5278731,-70.9286609,Private,PEABODY,Essex, , , , , , , 
SAMUEL BROWN SCHOOL,42.5071011,-70.9506351,Public,PEABODY,Essex,98%,96%,96%,94%,96%,92%,3.80%
SOUTH MEMORIAL SCHOOL,42.5149535,-70.948385,Public,PEABODY,Essex,98%,98%,98%,100%,98%,98%,0%
ST JOHN THE BAPTIST SCHOOL,42.5257125,-70.9302852,Private,PEABODY,Essex, , , , , , , 
THOMAS CARROLL SCHOOL,42.5322068,-70.9175901,Public,PEABODY,Essex,93%,99%,96%,98%,94%,93%,0%
WEST MEMORIAL SCHOOL,42.5480696,-71.0138084,Public,PEABODY,Essex, , , , , , , 
WILLIAM A WELCH SCHOOL,42.5178886,-70.930303,Public,PEABODY,Essex,100%,100%,100%,100%,100%,98%,0%
PELHAM ELEMENTARY,42.3781411,-72.4684998,Public,PELHAM,Hampshire, , , , , , , 
BRYANTVILLE ELEMENTARY,42.0443291,-70.8236969,Public,PEMBROKE,Plymouth,99%,99%,99%,100%,99%,99%,1.40%
HOBOMOCK ELEMENTARY,42.0534354,-70.795318,Public,PEMBROKE,Plymouth,100%,100%,100%,98%,100%,98%,2.00%
NORTH PEMBROKE ELEMENTARY,42.0973241,-70.7794849,Public,PEMBROKE,Plymouth,99%,99%,99%,99%,99%,99%,1.20%
PILGRIM AREA COLLABORATIVE,42.0711,-70.8091,Private,PEMBROKE,Plymouth, , , , , , , 
MAPLE DENE ELEMENTARY,42.681193,-71.581045,Private,PEPPERELL,Middlesex, , , , , , , 
VARNUM BROOK ELEMENTARY,42.6691954,-71.5895057,Public,PEPPERELL,Middlesex,98%,98%,97%,98%,97%,97%,3.30%
PETERSHAM CENTER SCHOOL,42.4837752,-72.186669,Public,PETERSHAM,Worcester, , , , , , , 
PETERSHAM MONTESSORI SCHOOL,42.4829759,-72.1892319,Private,PETERSHAM,Worcester,*,*,*,*,*,*,*
PHILLIPSTON MEMORIAL,42.5484215,-72.1336916,Public,PHILLIPSTON,Worcester, , , , , , , 
ALLENDALE ELEMENTARY,42.4586902,-73.2201916,Public,PITTSFIELD,Berkshire,83%,90%,88%,98%,88%,81%,0%
CROSBY ELEMENTARY,42.4494881,-73.2728421,Public,PITTSFIELD,Berkshire,95%,96%,98%,100%,98%,95%,0%
EGREMONT SCHOOL,42.4372841,-73.2293832,Public,PITTSFIELD,Berkshire,93%,95%,95%,98%,96%,93%,2.50%
MORNINGSIDE COMMUNITY,42.456902,-73.2444251,Public,PITTSFIELD,Berkshire,92%,100%,98%,100%,98%,90%,0%
ROBERT CAPELESS SCHOOL,42.4804878,-73.260573,Public,PITTSFIELD,Berkshire,97%,97%,97%,97%,97%,97%,2.90%
SILVIO CONTE COMMUNITY SCHOOL,42.4556628,-73.2685295,Public,PITTSFIELD,Berkshire,89%,92%,94%,99%,92%,87%,1.10%
ST MARK SCHOOL,42.453589,-73.268748,Private,PITTSFIELD,Berkshire, , , , , , , 
STEARNS,42.45697,-73.2490265,Public,PITTSFIELD,Berkshire,87%,93%,91%,96%,91%,87%,4.40%
WILLIAMS ELEMENTARY,42.4347865,-73.2089798,Public,PITTSFIELD,Berkshire,98%,100%,98%,100%,98%,98%,0%
ANNA WARE JACKSON SCHOOL,42.0042655,-71.3328331,Public,PLAINVILLE,Norfolk,96%,99%,99%,100%,98%,94%,0%
COLD SPRING SCHOOL,41.9626033,-70.6778135,Public,PLYMOUTH,Plymouth,100%,100%,100%,97%,97%,97%,2.70%
FEDERAL FURNACE,41.9156887,-70.7053747,Public,PLYMOUTH,Plymouth,94%,96%,97%,97%,97%,93%,2.80%
HEDGE ELEMENTARY,41.9737143,-70.6878141,Public,PLYMOUTH,Plymouth,100%,100%,100%,100%,100%,100%,0%
INDIAN BROOK ELEMENTARY,41.8894734,-70.5399579,Public,PLYMOUTH,Plymouth,99%,99%,99%,100%,99%,99%,0%
MANOMET ELEMENTARY,41.9200257,-70.5529856,Public,PLYMOUTH,Plymouth,100%,100%,100%,100%,100%,100%,0%
NATHANIEL MORTON SCHOOL,41.954,-70.6596,Public,PLYMOUTH,Plymouth,89%,89%,87%,89%,87%,87%,3.60%
NEW TESTAMENT CHRISTIAN SCHOOL,41.8131958,-70.5595901,Private,PLYMOUTH,Plymouth, , , , , , , 
RADIUS PEDIATRIC SCHOOL,41.943151,-70.6588947,Private,PLYMOUTH,Plymouth, , , , , , , 
SOUTH SCHOOL,42.2006561,-70.8850446,Public,PLYMOUTH,Plymouth,98%,99%,98%,100%,98%,98%,1.90%
WEST SCHOOL,41.893713,-70.9258742,Public,PLYMOUTH,Plymouth,98%,98%,98%,98%,98%,98%,2.30%
DENNETT ELEMENTARY,41.9724426,-70.7974565,Public,PLYMPTON,Plymouth, , , , , , , 
THOMAS PRINCE ELEMENTARY,42.4424039,-71.8438971,Public,PRINCETON,Worcester,95%,98%,95%,95%,95%,95%,4.70%
PROVINCETOWN SCHOOLS,42.0513879,-70.1896656,Public,PROVINCETOWN,Barnstable, , , , , , , 
ATHERTON HOUGH,42.266731,-70.9574973,Public,QUINCY,Norfolk,100%,100%,100%,100%,98%,98%,0%
BEECHWOOD KNOLL ELEMENTARY,42.26937,-71.0053414,Public,QUINCY,Norfolk,95%,98%,98%,100%,98%,92%,1.50%
CHARLES BERNAZZANI SCHOOL,42.2558177,-71.0224441,Public,QUINCY,Norfolk,95%,96%,98%,100%,98%,93%,1.80%
CLIFFORD MARSHALL SCHOOL,42.2535711,-71.0005952,Public,QUINCY,Norfolk,96%,98%,99%,99%,99%,96%,0%
FRANCIS W PARKER ELEMENTARY,42.2528772,-71.0022705,Public,QUINCY,Norfolk,94%,100%,100%,98%,100%,87%,0%
LINCOLN- HANCOCK ELEMENTARY,42.2426827,-71.0113241,Public,QUINCY,Norfolk,96%,99%,97%,100%,96%,92%,0%
MERRYMOUNT,42.2625993,-70.9953259,Public,QUINCY,Norfolk,97%,100%,98%,98%,98%,97%,1.70%
MONTCLAIR ELEMENTARY,42.2707193,-71.0321204,Public,QUINCY,Norfolk,92%,97%,100%,100%,100%,92%,0%
MUTANAFISUN ACADEMY,42.2433376,-70.9793163,Private,QUINCY,Norfolk, , , , , , , 
QUINCY CATHOLIC ACADEMY,42.274734,-71.0263895,Private,QUINCY,Norfolk,73%,91%,84%,100%,78%,73%,0%
SNUG HARBOR,42.2539127,-70.9648422,Public,QUINCY,Norfolk,100%,100%,100%,100%,98%,98%,0%
SQUANTUM ELEMENTARY,42.2973785,-71.0120032,Public,QUINCY,Norfolk,97%,98%,98%,100%,98%,97%,0%
WOLLASTON SCHOOL,42.2632743,-71.0236027,Public,QUINCY,Norfolk,94%,98%,94%,98%,94%,92%,1.90%
ELIZABETH G LYONS ELEMENTARY,42.1774183,-71.040524,Public,RANDOLPH,Norfolk,100%,100%,100%,100%,100%,100%,0%
J F KENNEDY ELEMENTARY,42.1661469,-71.0342938,Public,RANDOLPH,Norfolk,100%,100%,100%,100%,100%,100%,0%
MARGARET L DONOVAN SCHOOL,42.1899772,-71.0702361,Public,RANDOLPH,Norfolk,100%,100%,100%,100%,100%,100%,0%
MARTIN E YOUNG ELEMENTARY,42.1528515,-71.0424175,Public,RANDOLPH,Norfolk,93%,99%,100%,100%,100%,93%,0%
MAY INSTITUTE CHILD DEVELOP CTR,42.1619739,-71.042551,Private,RANDOLPH,Norfolk, , , , , , , 
MERRILL ELEMENTARY,41.9323989,-71.030636,Public,RAYNHAM,Bristol,100%,100%,100%,99%,100%,99%,0.70%
ALICE BARROWS,42.5216213,-71.1240778,Public,READING,Middlesex,98%,100%,100%,100%,100%,98%,0%
BIRCH MEADOW SCHOOL,42.5379984,-71.1132577,Public,READING,Middlesex,100%,100%,100%,98%,100%,98%,0%
J WARREN KILLAM,42.5409277,-71.0903316,Public,READING,Middlesex,96%,97%,99%,100%,99%,96%,0%
JOSHUA EATON,42.5145967,-71.1106582,Public,READING,Middlesex,95%,96%,97%,97%,97%,95%,0%
READING MONTESSORI SCHOOL,42.5280493,-71.1266496,Private,READING,Middlesex, , , , , , , 
WOOD END ELEMENTARY,42.551369,-71.1163805,Public,READING,Middlesex,97%,100%,100%,100%,100%,97%,0%
CEDAR BROOK SDA SCHOOL,41.8470056,-71.2393933,Private,REHOBOTH,Bristol, , , , , , , 
PALMER RIVER ELEMENTARY,41.8470056,-71.2393933,Public,REHOBOTH,Bristol,97%,97%,97%,97%,97%,96%,3.30%
PINECROFT SCHOOL,41.9030909,-71.2159315,Private,REHOBOTH,Bristol, , , , , , , 
A C WHELAN ELEMENTARY,42.4193889,-71.0200305,Public,REVERE,Suffolk,100%,100%,100%,100%,100%,100%,0%
ABRAHAM LINCOLN,42.4167635,-71.0097726,Public,REVERE,Suffolk,99%,100%,99%,99%,98%,98%,1.10%
BEACHMONT,42.3959305,-70.986994,Public,REVERE,Suffolk,99%,100%,100%,100%,100%,97%,0%
GARFIELD ELEMENTARY,42.4036464,-70.9925628,Public,REVERE,Suffolk,92%,96%,97%,96%,95%,92%,0%
IMMACULATE CONCEPTION,42.406847,-71.009994,Private,REVERE,Suffolk,100%,100%,100%,100%,100%,100%,0%
PAUL REVERE,42.441908,-71.020185,Public,REVERE,Suffolk,99%,100%,99%,100%,99%,99%,0%
WILLIAM MCKINLEY,42.4096712,-71.0146496,Public,REVERE,Suffolk,99%,99%,99%,100%,99%,99%,0%
RICHMOND CONSOLIDATED,42.3815892,-73.3673212,Public,RICHMOND,Berkshire, , , , , , , 
ROCHESTER MEMORIAL,41.7460073,-70.8668978,Public,ROCHESTER,Plymouth,92%,96%,92%,98%,92%,76%,4.10%
CALVARY CHAPEL ACADEMY,42.1198788,-70.912657,Private,ROCKLAND,Plymouth, , , , , , , 
HOLY FAMILY SCHOOL,42.1337,-70.9151736,Private,ROCKLAND,Plymouth, , , , , , , 
